year,school-1,school-2,score-1,score-2,school-1-result
2019,Walpole,Weymouth,,,
2019,Wellesley,Weymouth,,,W
2018,Braintree,Brookline,78,93,L
2018,Braintree,Framingham,84,97,L
2018,Braintree,Milton,49,121,L
2018,Braintree,Natick,87,101,L
2018,Braintree,Needham,79,96,L
2018,Braintree,Newton North,84,93,L
2018,Braintree,Walpole,82,99,L
2018,Braintree,Wellesley,78,103,L
2018,Braintree,Weymouth,94,77,W
2018,Brookline,Framingham,,,
2018,Brookline,Milton,,,
2018,Brookline,Natick,,,
2018,Brookline,Needham,85,101,L
2018,Brookline,Newton North,,,
2018,Brookline,Walpole,,,
2018,Brookline,Wellesley,,,L
2018,Brookline,Weymouth,,,
2018,Framingham,Milton,,,
2018,Framingham,Natick,,,
2018,Framingham,Needham,88,98,L
2018,Framingham,Newton North,,,
2018,Framingham,Walpole,,,
2018,Framingham,Wellesley,,,L
2018,Framingham,Weymouth,,,
2018,Milton,Natick,,,
2018,Milton,Needham,86,95,L
2018,Milton,Newton North,,,
2018,Milton,Walpole,,,
2018,Milton,Wellesley,,,L
2018,Milton,Weymouth,,,
2018,Natick,Needham,83,98,L
2018,Natick,Newton North,,,
2018,Natick,Walpole,,,
2018,Natick,Wellesley,,,L
2018,Natick,Weymouth,,,
2018,Needham,Newton North,102,84,W
2018,Needham,Walpole,100,74,W
2018,Needham,Wellesley,86.5,97.5,L
2018,Needham,Weymouth,105,73,W
2018,Newton North,Walpole,,,
2018,Newton North,Wellesley,,,L
2018,Newton North,Weymouth,,,
2018,Walpole,Wellesley,,,L
2018,Walpole,Weymouth,,,
2018,Wellesley,Weymouth,,,W
2017,Braintree,Brookline,,,
2017,Braintree,Framingham,,,
2017,Braintree,Milton,,,
2017,Braintree,Natick,,,
2017,Braintree,Needham,84,102,L
2017,Braintree,Newton North,,,
2017,Braintree,Norwood,,,
2017,Braintree,Walpole,,,
2017,Braintree,Wellesley,,,L
2017,Braintree,Weymouth,,,
2017,Brookline,Framingham,,,
2017,Brookline,Milton,,,
2017,Brookline,Natick,,,
2017,Brookline,Needham,98,90,W
2017,Brookline,Newton North,,,
2017,Brookline,Norwood,,,
2017,Brookline,Walpole,,,
2017,Brookline,Wellesley,,,L
2017,Brookline,Weymouth,,,
2017,Framingham,Milton,,,
2017,Framingham,Natick,,,
2017,Framingham,Needham,,,W
2017,Framingham,Newton North,,,
2017,Framingham,Norwood,,,
2017,Framingham,Walpole,,,
2017,Framingham,Wellesley,,,L
2017,Framingham,Weymouth,,,
2017,Milton,Natick,,,
2017,Milton,Needham,74,93,L
2017,Milton,Newton North,,,
2017,Milton,Norwood,,,
2017,Milton,Walpole,,,
2017,Milton,Wellesley,,,L
2017,Milton,Weymouth,,,
2017,Natick,Needham,93,86,W
2017,Natick,Newton North,,,
2017,Natick,Norwood,,,
2017,Natick,Walpole,,,
2017,Natick,Wellesley,,,L
2017,Natick,Weymouth,,,
2017,Needham,Newton North,,,L
2017,Needham,Norwood,102,80,W
2017,Needham,Walpole,93,88,W
