date	title	url
2023-11-11	From start to finish, Wellesley girls' swimming rules Division 2 for fourth straight season	https://www.bostonglobe.com/2023/11/11/sports/start-finish-wellesley-girls-swimming-rules-division-2-fourth-straight-season/
2023-11-11	Needham girls' swimming rides a wave of depth to first Division 1 championship	https://www.bostonglobe.com/2023/11/11/sports/needham-girls-swimming-rides-wave-depth-first-division-1-championship/
2023-02-08	Needham's Vann Hotchkiss, Duxbury's Olivia Templeton hit their marks at MIAA South boys' and girls' diving championships	https://www.bostonglobe.com/2023/02/08/sports/needhams-vann-hotchkiss-duxburys-olivia-templeton-hit-mark-miaa-south-diving-championship/
