date	title	url
2015-10-27	Newton North girls swim past Bay State Conference rivals	https://www.wickedlocal.com/story/newton-tab/2015/10/27/newton-north-girls-swim-past/33189650007/
2015-10-22	Needham swimmers making a splash in BSC	https://www.wickedlocal.com/story/needham-times/2015/10/22/needham-swimmers-making-splash-in/64713079007/
2015-10-22	Norwood swimmers aiming to improve	https://www.wickedlocal.com/story/transcript-bulletin/2015/10/22/norwood-swimmers-aiming-to-improve/64831628007/
2015-10-08	Newton North 94, Walpole 86: Youth serves Tigers in girls swimming victory	https://www.wickedlocal.com/story/newton-tab/2015/10/08/newton-north-94-walpole-86/33311999007/
2015-09-29	Newton North girls swimmers &amp; divers off to perfect start	https://www.wickedlocal.com/story/newton-tab/2015/09/29/newton-north-girls-swimmers-amp/33426339007/
2015-09-26	Wellesley swims by Norwood	https://www.wickedlocal.com/story/wellesley-townsman/2015/09/26/wellesley-swims-by-norwood/33439006007/
2015-09-16	DEDHAM HIGH ROUNDUP: Numbers up for swimming	https://www.wickedlocal.com/story/transcript-bulletin/2015/09/16/dedham-high-roundup-numbers-up/33539231007/
2015-03-12	Needham Times sports cartoon: Nathan Lai (boys swimming)	https://www.wickedlocal.com/story/needham-times/2015/03/12/needham-times-sports-cartoon-nathan/35025785007/
2015-02-04	Needham High boys swimming team places fourth at Bay State Conference Meet	https://www.wickedlocal.com/story/needham-times/2015/02/04/needham-high-boys-swimming-team/64839654007/
2015-01-22	Needham High: Rockets swim team improves to 4-1	https://www.wickedlocal.com/story/needham-times/2015/01/22/needham-high-rockets-swim-team/64839997007/
2015-01-14	Framingham boys swim past Brookline	https://www.wickedlocal.com/story/bulletin-tab/2015/01/14/framingham-boys-swim-past-brookline/35535310007/
2015-01-14	Wellesley High boys swim team pooling its efforts	https://www.wickedlocal.com/story/wellesley-townsman/2015/01/14/wellesley-high-boys-swim-team/64721761007/
2014-11-20	Rocket roundup: Girls swimming team takes a last lap at States	https://www.wickedlocal.com/story/needham-times/2014/11/20/rocket-roundup-girls-swimming-team/64841261007/
2014-11-11	Newton North girls swimmers and divers win South Sectional crown	https://www.wickedlocal.com/story/newton-tab/2014/11/11/newton-north-girls-swimmers-divers/35965142007/
2014-10-26	Newton North girls swimming and diving team completes perfect regular season	https://www.wickedlocal.com/story/newton-tab/2014/10/26/newton-north-girls-swimming-diving/36074500007/
2014-10-23	NORWOOD HIGH ROUNDUP: Swimmers leave Dedham in their wake	https://www.wickedlocal.com/story/transcript-bulletin/2014/10/23/norwood-high-roundup-swimmers-leave/36107748007/
2014-10-23	Swimmers gearing up for the postseason	https://www.wickedlocal.com/story/brookline-tab/2014/10/23/swimmers-gearing-up-for-postseason/36098760007/
2014-10-21	Newton North swimmers &amp; divers rule the pool	https://www.wickedlocal.com/story/newton-tab/2014/10/21/newton-north-swimmers-divers-rule/36108750007/
2014-10-17	Framingham 95, Braintree 83: Flyers dig deep in swimming win	https://www.wickedlocal.com/story/bulletin-tab/2014/10/17/framingham-95-braintree-83-flyers/36142120007/
2014-10-16	Swimmers swamp the Wamps	https://www.wickedlocal.com/story/brookline-tab/2014/10/16/swimmers-swamp-wamps/36155332007/
2014-10-15	Newton North 102, Needham 82: Tigers win BSC girls swimming &amp; diving showdown	https://www.wickedlocal.com/story/newton-tab/2014/10/15/newton-north-102-needham-82/36161788007/
2014-10-10	Wellesley High girls swim team pools effort for strong season	https://www.wickedlocal.com/story/wellesley-townsman/2014/10/10/wellesley-high-girls-swim-team/36211801007/
2014-10-09	Swimmers sunk by Newton North	https://www.wickedlocal.com/story/brookline-tab/2014/10/09/swimmers-sunk-by-newton-north/36217118007/
2014-09-25	Brookline High sports roundup: Soccer, cross country, swimming	https://www.wickedlocal.com/story/brookline-tab/2014/09/25/brookline-high-sports-roundup-soccer/36325574007/
2014-09-25	Raider Roundup: Girls swim team sunk by Framingham	https://www.wickedlocal.com/story/wellesley-townsman/2014/09/25/raider-roundup-girls-swim-team/36314599007/
2014-09-25	Rocket Roundup: Girls swimming team earns big win over Framingham	https://www.wickedlocal.com/story/needham-times/2014/09/25/rocket-roundup-girls-swimming-team/36325567007/
2014-09-24	Framingham 97, Wellesley 84: Flyers swimmers back in the groove	https://www.wickedlocal.com/story/bulletin-tab/2014/09/24/framingham-97-wellesley-84-flyers/36327716007/
2014-09-24	SCHOOL ROUNDUP: Braintree swim team edges Weymouth	https://www.wickedlocal.com/story/archive/2014/09/24/school-roundup-braintree-swim-team/63571839007/
2014-09-24	Swim squad falls to Wellesley	https://www.wickedlocal.com/story/brookline-tab/2014/09/24/swim-squad-falls-to-wellesley/36330345007/
2014-09-17	Swimming tops Brookline in opener	https://www.wickedlocal.com/story/times-advocate/2014/09/17/swimming-tops-brookline-in-opener/36390215007/
2014-09-16	Newton North girls swim team wins first two meets	https://www.wickedlocal.com/story/newton-tab/2014/09/16/newton-north-girls-swim-team/36399738007/
2014-09-08	Brookline High fall sports previews: Volleyball, swimming golf	https://www.wickedlocal.com/story/brookline-tab/2014/09/08/brookline-high-fall-sports-previews/36443888007/
2014-02-09	Needham High boys swim team finishes second at Bay State Conference Championship Meet	https://www.wickedlocal.com/story/needham-times/2014/02/09/needham-high-boys-swim-team/39101708007/
2014-01-28	Brookline boys swimming sinks BC High to stay unbeaten	https://www.wickedlocal.com/story/brookline-tab/2014/01/28/brookline-boys-swimming-sinks-bc/39951798007/
2014-01-24	Framingham 100, Wellesley 86: Back in their lane as Flyer swimmers bounce back	https://www.wickedlocal.com/story/archive/2014/01/24/framingham-100-wellesley-86-back/63573994007/
2014-01-23	Needham High boys swimming: Rockets beat Eagles, fall to Flyers	https://www.wickedlocal.com/story/needham-times/2014/01/23/needham-high-boys-swimming-rockets/40385724007/
2014-01-16	Needham High boys swimming now 2-2 on season	https://www.wickedlocal.com/story/needham-times/2014/01/16/needham-high-boys-swimming-now/40355641007/
2014-01-09	Needham High boys swimming dives into season	https://www.wickedlocal.com/story/needham-times/2014/01/09/needham-high-boys-swimming-dives/40355534007/
2014-01-09	Wellesley High boys swimming dives into 4-0 start	https://www.wickedlocal.com/story/wellesley-townsman/2014/01/09/wellesley-high-boys-swimming-dives/40357413007/
2013-11-20	Needham High Sports Roundup: Swimmers finish 7th in States	https://www.wickedlocal.com/story/needham-times/2013/11/20/needham-high-sports-roundup-swimmers/39772810007/
2013-11-14	Needham High girls swimming receives MIAA sportsmanship award	https://www.wickedlocal.com/story/needham-times/2013/11/14/needham-high-girls-swimming-receives/39772808007/
2013-11-12	Newton North girls swim to third at Sectionals	https://www.wickedlocal.com/story/newton-tab/2013/11/12/newton-north-girls-swim-to/37256276007/
2013-11-11	Needham High girls swim team finishes fourth at State Sectional Meet	https://www.wickedlocal.com/story/needham-times/2013/11/11/needham-high-girls-swim-team/39604873007/
2013-11-06	Needham girls swim team places second at Bay State Conference Meet	https://www.wickedlocal.com/story/needham-times/2013/11/06/needham-girls-swim-team-places/39773034007/
2013-11-06	Record day in pool for Newton North girls swimmers	https://www.wickedlocal.com/story/newton-tab/2013/11/06/record-day-in-pool-for/37256366007/
2013-10-30	Swimmers drop finale to Natick	https://www.wickedlocal.com/story/times-advocate/2013/10/30/swimmers-drop-finale-to-natick/40406223007/
2013-10-24	Girls Swimming: Needham High wins three in a row to move to 8-1	https://www.wickedlocal.com/story/needham-times/2013/10/24/girls-swimming-needham-high-wins/39605071007/
2013-10-23	Swimmers edged by Walpole	https://www.wickedlocal.com/story/transcript-bulletin/2013/10/23/swimmers-edged-by-walpole/38808767007/
2013-10-18	Newton North settles for share of Bay State girls swim title	https://www.wickedlocal.com/story/newton-tab/2013/10/18/newton-north-settles-for-share/37256274007/
2013-10-17	Framingham sends swimmers to .500	https://www.wickedlocal.com/story/transcript-bulletin/2013/10/17/framingham-sends-swimmers-to-500/38800982007/
2013-10-17	Newton North 99, Dedham 75: Tigers swim into Thursday showdown	https://www.wickedlocal.com/story/newton-tab/2013/10/17/newton-north-99-dedham-75/37254555007/
2013-10-15	Newton North swimmers dive toward BSC showdown	https://www.wickedlocal.com/story/newton-tab/2013/10/15/newton-north-swimmers-dive-toward/37313403007/
2013-10-10	Swimmers sweep up Weymouth	https://www.wickedlocal.com/story/transcript-bulletin/2013/10/10/swimmers-sweep-up-weymouth/38822457007/
2013-10-08	Newton North swimmers perfect in pool	https://www.wickedlocal.com/story/newton-tab/2013/10/08/newton-north-swimmers-perfect-in/37281358007/
2013-10-03	Wellesley High Sports Roundup: New school record in girls swimming	https://www.wickedlocal.com/story/wellesley-townsman/2013/10/03/wellesley-high-sports-roundup-new/39979877007/
2013-10-02	Needham High swimmers improve to 4-1	https://www.wickedlocal.com/story/needham-times/2013/10/02/needham-high-swimmers-improve-to/39728210007/
2013-09-25	Needham High girls swimming stays unbeaten	https://www.wickedlocal.com/story/needham-times/2013/09/25/needham-high-girls-swimming-stays/39728288007/
2013-09-18	Needham High girls swimming splashes onto the scene	https://www.wickedlocal.com/story/needham-times/2013/09/18/needham-high-girls-swimming-splashes/39728703007/
2013-09-12	Swimmers start with victory over Brookline	https://www.wickedlocal.com/story/transcript-bulletin/2013/09/12/swimmers-start-with-victory-over/38833780007/
2013-06-20	Needham High swimming and diving team unveils new record board	https://www.wickedlocal.com/story/needham-times/2013/06/20/needham-high-swimming-diving-team/39849969007/
2013-02-20	Needham High Sports Roundup: Swimmers take last lap	https://www.wickedlocal.com/story/needham-times/2013/02/20/needham-high-sports-roundup-swimmers/39676838007/
2013-02-06	Needham High Sports Roundup: Swimmers take third in BSCs	https://www.wickedlocal.com/story/needham-times/2013/02/06/needham-high-sports-roundup-swimmers/39608357007/
2013-02-05	Newton North boys swim team earns eight firsts at Bay States	https://www.wickedlocal.com/story/newton-tab/2013/02/05/newton-north-boys-swim-team/37255681007/
2013-02-04	Brookline boys swimming takes second in league championships	https://www.wickedlocal.com/story/brookline-tab/2013/02/04/brookline-boys-swimming-takes-second/39953304007/
2013-01-23	Framingham ends Brookline swim team's title hopes	https://www.wickedlocal.com/story/brookline-tab/2013/01/23/framingham-ends-brookline-swim-team/40369744007/
2013-01-17	Unbeaten Brookline swimmers gear up for Framingham	https://www.wickedlocal.com/story/brookline-tab/2013/01/17/unbeaten-brookline-swimmers-gear-up/40025844007/
2013-01-10	Brookline edges Needham swim team, 94-92	https://www.wickedlocal.com/story/brookline-tab/2013/01/10/brookline-edges-needham-swim-team/39985205007/
2013-01-09	Needham High boys swimming dives into the season	https://www.wickedlocal.com/story/needham-times/2013/01/09/needham-high-boys-swimming-dives/64849134007/
2012-12-28	Arlington High swimming falls to Needham	https://www.wickedlocal.com/story/arlington-advocate/2012/12/28/arlington-high-swimming-falls-to/40812614007/
2012-12-19	Needham High boys swimming rolls in first two meets of winter	https://www.wickedlocal.com/story/needham-times/2012/12/19/needham-high-boys-swimming-rolls/39849705007/
2012-12-18	Brookline swim team sinks BC High, 94-82	https://www.wickedlocal.com/story/brookline-tab/2012/12/18/brookline-swim-team-sinks-bc/40345510007/
2012-11-21	Needham High Sports Roundup: Swimmers finish 5th at state meet	https://www.wickedlocal.com/story/needham-times/2012/11/21/needham-high-sports-roundup-swimmers/39849512007/
2012-11-14	Brookline swimmers make strong showing in Sectionals	https://www.wickedlocal.com/story/brookline-tab/2012/11/14/brookline-swimmers-make-strong-showing/40368339007/
2012-10-31	Needham High girls swim team sends seniors out with a win	https://www.wickedlocal.com/story/needham-times/2012/10/31/needham-high-girls-swim-team/39729025007/
2012-10-11	Needham High girls swimming team pools its efforts	https://www.wickedlocal.com/story/needham-times/2012/10/11/needham-high-girls-swimming-team/39653395007/
2012-10-11	Swimmers sink Weymouth, Brookline	https://www.wickedlocal.com/story/transcript-bulletin/2012/10/11/swimmers-sink-weymouth-brookline/38801035007/
2012-10-04	Girls Swimming: Wellesley falls to Framingham in a battle of unbeatens	https://www.wickedlocal.com/story/wellesley-townsman/2012/10/04/girls-swimming-wellesley-falls-to/64731425007/
2012-02-22	Needham High boys swimming finishes 15th in States	https://www.wickedlocal.com/story/needham-times/2012/02/22/needham-high-boys-swimming-finishes/39729522007/
2012-02-15	Needham High boys swimming makes waves at Sectionals	https://www.wickedlocal.com/story/needham-times/2012/02/15/needham-high-boys-swimming-makes/39771884007/
2012-02-14	Brookline swim team places 10th in South Sectionals	https://www.wickedlocal.com/story/brookline-tab/2012/02/14/brookline-swim-team-places-10th/40025705007/
2012-02-08	Brookline swim team takes third in Bay State Conference meet	https://www.wickedlocal.com/story/brookline-tab/2012/02/08/brookline-swim-team-takes-third/39951602007/
2012-02-08	Needham High Boys Swimming: Best in the Bay State Conference	https://www.wickedlocal.com/story/needham-times/2012/02/08/needham-high-boys-swimming-best/39608370007/
2012-02-01	A wave of success for Needham High boys swim team	https://www.wickedlocal.com/story/needham-times/2012/02/01/a-wave-success-for-needham/39608631007/
2012-01-25	Needham sinks Brookline boys swim team's title hopes	https://www.wickedlocal.com/story/brookline-tab/2012/01/25/needham-sinks-brookline-boys-swim/39953907007/
2012-01-18	Needham High boys swim team off to 6-0 start	https://www.wickedlocal.com/story/needham-times/2012/01/18/needham-high-boys-swim-team/39650191007/
2012-01-04	Needham’s Ellen Ingwerson sets swimming mark	https://www.wickedlocal.com/story/needham-times/2012/01/04/needham-s-ellen-ingwerson-sets/39729273007/
2011-12-29	Needham High boys swim team improves to 3-0	https://www.wickedlocal.com/story/needham-times/2011/12/29/needham-high-boys-swim-team/39629267007/
2011-12-23	Needham boys swimming team starts with two straight wins	https://www.wickedlocal.com/story/needham-times/2011/12/23/needham-boys-swimming-team-starts/39688527007/
2011-12-14	Needham High boys swimming preview: Seniors hope to go out on top	https://www.wickedlocal.com/story/needham-times/2011/12/14/needham-high-boys-swimming-preview/39659064007/
2011-11-23	Needham High girls swim team takes 4th at state meet	https://www.wickedlocal.com/story/needham-times/2011/11/23/needham-high-girls-swim-team/39688622007/
