year,division,place,school,score
2017,North,3,Acton-Boxborough,264
2017,North,4,Belmont,165
2017,North,5,Melrose,164
2017,North,6,Central Catholic,144
2017,North,7,Haverhill,135
2017,North,8,Winchester,129
2017,North,9,Chelmsford,126
2017,North,10,Stoneham,85
2017,North,11,Lexington,68
2017,North,12,Lowell,60
2017,North,13,Wakefield,57
2017,North,14,Methuen,48
2017,North,15,Arlington,40
2017,North,16,Burlington,26
2017,North,17,Woburn,24
2017,North,18,North Andover,20
2017,North,19,Billerica,4
2017,South,1,Wellesley,376
2017,South,2,Newton North,332
2017,South,3,Brookline,268
2017,South,4,Natick,233
2017,South,5,Ursuline Academy,176
2017,South,5,Framingham,176
2017,South,7,Needham,168
2017,South,8,Boston Latin School,157
2017,South,9,Marshfield,144
2017,South,10,Notre Dame Academy-Hingham,119
2017,South,11,Braintree,46
2017,South,12,Walpole,35
2017,South,13,Norwood,32
2017,South,14,Milton,31
2016,North,1,Andover,464
2016,North,2,Acton-Boxborough,298
2016,North,3,Reading,258
2016,North,4,Central Catholic,204
2016,North,5,Belmont,180
2016,North,6,Lexington,127
2016,North,7,Winchester,126
2016,North,8,Chelmsford,117
2016,North,9,Haverhill,111
2016,North,9,Melrose,111
2016,North,11,Lowell,107
2016,North,12,Burlington,55
2016,North,13,Boston Latin School,53
2016,North,14,Stoneham,46
2016,North,15,North Andover,26
2016,North,16,Billerica,17
2016,North,17,Methuen,13
2016,North,18,Academy of Notre Dame,4
2016,North,18,Woburn,4
2016,North,20,Arlington,3
2016,South,1,Framingham,300
2016,South,2,Newton North,292
2016,South,3,Brookline,263
2016,South,4,Notre Dame Academy-Hingham,251
2016,South,5,Natick,242
2016,South,6,Wellesley,240
2016,South,7,Ursuline Academy,205
2016,South,8,Needham,179
2016,South,9,Marshfield,153
2016,South,10,Braintree,49
2016,South,11,Dedham,33
2016,South,12,Norwood,24
2016,South,13,Walpole,20
2015,North,1,Andover,474
2015,North,2,Acton-Boxborough,292.5
2015,North,3,Reading,249
2015,North,4,Belmont,236
2015,North,5,Lexington,151
2015,North,6,Haverhill,141.5
2015,North,7,Central Catholic,139
2015,North,8,Melrose,125
2015,North,9,Chelmsford,113.5
2015,North,10,Winchester,100.5
2015,North,11,Burlington,54
2015,North,12,Woburn,49
2015,North,13,Boston Latin School,46
2015,North,14,Wakefield,43
2015,North,15,North Andover,37
2015,North,16,Lowell,30.5
2015,North,17,Methuen,18.5
2015,North,18,Stoneham,12
2015,North,19,Billerica,9
2015,North,20,Notre Dame Academy-Worcester,4
2015,South,1,Bishop Feehan,350
2015,South,2,Brookline,267.5
2015,South,3,Newton North,235.5
2015,South,4,Framingham,235
2015,South,5,Wellesley,213
2015,South,6,Needham,202
2015,South,7,Ursuline Academy,172.5
2015,South,8,Natick,144
2015,South,9,Notre Dame Academy-Hingham,133.5
2015,South,10,Marshfield,90
2015,South,11,New Bedford,71
2015,South,12,Braintree,53
2015,South,13,Advanced Math & Science,38
2015,South,14,Durfee,36
2015,South,15,Brockton,35
2015,South,16,Walpole,18
2015,South,17,Mount Alvernia,11
2015,South,18,Norwood,6
2014,North,1,Andover ,366
2014,North,2,Acton-Boxborough,320
2014,North,3,Belmont,217
2014,North,4,Lexington,182
2014,North,5,Chelmsford,160
2014,North,6,Winchester,145
2014,North,7,Central Catholic,125
2014,North,8,Lowell,105
2014,North,9,Haverhill,99.5
2014,North,10,North Andover,96
2014,North,11,Melrose,95
2014,North,12,Stoneham,80
2014,North,13,Reading,72
2014,North,14,Wakefield,68
2014,North,15,Woburn,50.5
2014,North,16,Methuen,50
2014,North,17,Burlington,37
2014,North,18,Boston Latin School,34
2014,North,19,Billerica,10
2014,North,20,Dracut,9
2014,North,21,Academy of Notre Dame,4
2014,South,1,Newton North,313
2014,South,2,Bishop Feehan,295
2014,South,3,Framingham,269
2014,South,4,Needham,209
2014,South,5,Natick,207
2014,South,6,Westwood,161
2014,South,7,Ursuline Academy,133
2014,South,8,Wellesley,131
2014,South,9,Bishop Stang,121
2014,South,10,Marshfield,81
2014,South,11,Walpole,77
2014,South,12,Brookline,71
2014,South,13,Brockton,51
2014,South,13,Durfee,51
2014,South,15,Notre Dame Academy,48
2014,South,16,New Bedford,45
2014,South,17,Deedham,27
2014,South,18,Braintree,18
2014,South,19,Norwood,14
2014,South,20,Mount Alvernia,3
2013,North,1,Andover,345.5
2013,North,2,Chelmsford,336
2013,North,3,Acton-Boxborough,258.5
2013,North,4,Belmont,252
2013,North,5,Lexington,178
2013,North,6,Haverhill,118.5
2013,North,7,North Andover,117
2013,North,8,Reading,103
2013,North,9,Central Catholic,102.5
2013,North,10,Wakefield,92
2013,North,11,Notre Dame Academy - Worcester,71
2013,North,12,Melrose,54
2013,North,13,Winchester,50
2013,North,14,Methuen,49
2013,North,15,Boston Latin School,43
2013,North,16,Stoneham,35
2013,North,17,Billerica,34
2013,North,18,Lowell,33
2013,North,19,Woburn,26
2013,North,20,Burlington,21
2013,North,21,Dracut,4
2013,North,22,Academy of Notre Dame,2
2013,South,1,Framingham,363
2013,South,2,Bishop Feehan,346
2013,South,3,Newton North,259
2013,South,4,Needham,257
2013,South,5,Natick,149
2013,South,6,Wellesley,144
2013,South,7,Westwood,120.5
2013,South,8,Ursuline Academy,93
2013,South,9,Apponequet,91
2013,South,10,Seekonk,83
2013,South,11,Bishop Stang Spartans,73
2013,South,12,Notre Dame Academy (H),71
2013,South,13,Walpole,65
2013,South,14,Brockton,64
2013,South,15,Dedham,41
2013,South,16,Durfee,33
2013,South,17,Brookline,30
2013,South,18,Marshfield,24
2013,South,19,Norwood Mustangs,8
2013,South,20,Mount Alvernia,6
2013,South,21,Braintree,4.5
2012,North,1,Andover,466
2012,North,2,Acton-Boxborough,281
2012,North,3,Chelmsford,269
2012,North,4,Reading,234
2012,North,5,Lexington,167
2012,North,6,Haverhill,152
2012,North,7,Belmont,151
2012,North,8,Methuen,125
2012,North,9,Wakefield,88
2012,North,10,Central Catholic,79
2012,North,11,Boston Latin School,75
2012,North,12,Notre Dame Academy,56
2012,North,13,Stoneham,51
2012,North,14,Winchester,28
2012,North,15,Billerica,22
2012,North,16,North Andover,21
2012,North,17,Melrose,16
2012,North,18,Lowell,15
2012,North,19,Woburn,14
2012,North,20,Academy of Notre Dame,7
2012,North,21,Dracut,6
2012,North,22,St Peter-Marion,2
2012,South,1,Framingham,344
2012,South,2,Bishop Feehan,337
2012,South,3,Needham,251.5
2012,South,4,Natick,147.5
2012,South,5,Bishop Stang,138
2012,South,6,Wellesley,121
2012,South,6,Notre Dame Academy (H),121
2012,South,8,Westwood,119
2012,South,9,Seekonk,114
2012,South,10,Newton North,103
2012,South,11,Braintree,91
2012,South,12,Ursuline Academy,78
2012,South,13,Walpole,68
2012,South,14,Brockton,62
2012,South,15,Marshfield,58
2012,South,16,Norwood,46
2012,South,17,Mount Alvernia,40
2012,South,18,Durfee,36
2012,South,19,Apponequet,25
2012,South,20,Brookline,24
2012,South,21,Dedham,1
2011,North,1,Andover,538
2011,North,2,Acton-Boxborough,267
2011,North,3,Reading,262.5
2011,North,4,Chelmsford,243.5
2011,North,5,Haverhill,146
2011,North,6,Lexington,122
2011,North,7,Dracut,115
2011,North,8,Central Catholic,103
2011,North,9,Belmont,99
2011,North,10,Billerica,97
2011,North,11,Methuen,77
2011,North,12,Boston Latin School,42
2011,North,12,Notre Dame Academy,42
2011,North,14,Stoneham,41
2011,North,15,Wakefield,38
2011,North,16,Winchester,34
2011,North,17,Melrose,22
2011,North,18,Lowell,21
2011,North,19,Burlington,6
2011,North,20,St Peter-Marion,4
2011,North,20,Woburn,4
2011,North,22,Academy of Notre Dame,1
2011,South,1,Bishop Feehan,281.5
2011,South,2,Framingham,261
2011,South,3,Walpole,254
2011,South,4,Needham,202.5
2011,South,5,Bishop Stang,164.5
2011,South,6,Notre Dame Academy (H),140.5
2011,South,7,Seekonk,114
2011,South,8,Norwood,100
2011,South,9,Marshfield,96
2011,South,9,Westwood,96
2011,South,11,Natick,83
2011,South,12,Sandwich,78
2011,South,13,Braintree,73
2011,South,14,Newton North,71
2011,South,15,Durfee,59
2011,South,16,Apponequet,46
2011,South,17,Wellesley,43
2011,South,18,Ursuline Academy,40
2011,South,19,Brockton,33
2011,South,20,Mount Alvernia,32
2011,South,21,Brookline,23
2011,South,22,New Bedford,19
2011,South,23,Milford,15
2010,North,1,Andover,367
2010,North,2,Reading,219.5
2010,North,3,Acton-Boxborough,199.5
2010,North,4,Chelmsford,137
2010,North,5,Lexington,119
2010,North,6,Haverhill,97
2010,North,7,Central Catholic,61
2010,North,8,Stoneham,54
2010,North,9,Belmont,32
2010,North,10,Winchester,22
2010,North,11,Boston Latin School,21
2010,North,12,Lowell,15
2010,North,13,St Peter-Marion,13.5
2010,North,14,Notre Dame Academy,10
2010,North,15,Methuen,9
2010,North,16,Wakefield,8
2010,North,16,Billerica,8
2010,North,18,Dracut,2.5
2010,South,1,Bishop Feehan,263
2010,South,2,Framingham,182
2010,South,3,Bishop Stang,129
2010,South,4,Needham,113
2010,South,5,Notre Dame Academy (H),111
2010,South,6,Seekonk,77.5
2010,South,7,Walpole,77
2010,South,8,Sandwich,69
2010,South,9,Ursuline Academy,68
2010,South,10,Natick,63
2010,South,11,Westwood,62
2010,South,12,Wellesley,60.5
2010,South,13,Norwood,28
2010,South,14,Brookline,27
2010,South,15,Newton North,23
2010,South,16,Mount Alvernia,22
2010,South,17,Braintree,8
2010,South,18,Marshfield,6
2010,South,19,Brockton,4
2010,South,20,New Bedford,2
2009,North,1,Andover,374
2009,North,2,Acton-Boxborough,219
2009,North,3,Reading,132.5
2009,North,4,Chelmsford,127
2009,North,5,Lexington,111
2009,North,6,Winchester,110.5
2009,North,7,Haverhill,96
2009,North,8,Wakefield Memorial,55
2009,North,9,Lawrence Central Catholic,39
2009,North,10,Lowell,32
2009,North,11,Boston Latin,27
2009,North,12,Belmont,26
2009,North,13,Dracut,24
2009,North,14,Stoneham,14
2009,North,15,Burlington,4
2009,North,15,Saint Peter-Marian,4
2009,South,1,Bishop Feehan,251
2009,South,2,Notre Dame Academy-Hingham,159
2009,South,3,Bishop Stang,154
2009,South,4,Framingham,110
2009,South,6,Seekonk,83
2009,South,5,Marshfield,88
2009,South,7,New Bedford,74
2009,South,8,Norwood,73
2009,South,9,Fontbonne Academy,48
2009,South,10,Dedham,45
2009,South,11,Ursuline Academy,41
2009,South,11,Natick,41
2009,South,13,Walpole,40
2009,South,13,Westwood,40
2009,South,15,Needham,31
2009,South,16,Wellesley,28
2009,South,17,Braintree,25
2009,South,18,B.M.C. Durfee,22
2009,South,19,Milford,19
2009,South,20,Newton North,12
2009,South,21,Apponequet Regional,9
2009,South,22,Mount Alvernia,1
2009,South,22,Sandwich,1
2008,North,1,Reading,205
2008,North,2,Acton Boxborough,199
2008,North,3,Chelmsford,182
2008,North,4,Andover,167
2008,North,5,Winchester,146
2008,North,6,Lexington,105
2008,North,7,Haverhill,96
2008,North,8,Belmont,74
2008,North,9,Central Catholic,60
2008,North,10,Methuen,38
2008,North,11,Dracut,32
2008,North,12,Lowell,24
2008,North,13,Burlington,23
2008,North,14,Notre Dame Academy,20
2008,North,15,Boston Latin School,16
2008,North,16,Wakefield,4
2008,North,17,Stoneham,2
2008,North,17,Melrose,2
2008,South,1,Notre Dame Academy,239
2008,South,2,Bishop Feehan,215.5
2008,South,3,Bishop Stang,162.5
2008,South,4,Framingham,115.5
2008,South,5,Brookline,88.5
2008,South,6,New Bedford,80
2008,South,7,Fontbonne Academy,63.5
2008,South,8,Durfee,59
2008,South,9,Brockton,52.5
2008,South,10,Norwood,51.5
2008,South,11,Westwood,36
2008,South,12,Seekonk,35
2008,South,13,Ursuline Academy,32.5
2008,South,14,Walpole,31
2008,South,15,Wellesley,29
