year,group,event,cutoff
2022,South Sectional Girls & Boys,100 Butterfly,1:09.01
2022,North Sectional Girls & Boys,100 Butterfly,1:08.40
2022,Girls State Division I,100 Butterfly,1:07.17
2022,Girls State Division II,100 Butterfly,1:08.26
2022,Boys State Division I,100 Butterfly,59.00
2022,Boys State Division II,100 Butterfly,59.00
2022,South Sectional Girls & Boys,100 Freestyle,1:00.33
2022,North Sectional Girls & Boys,100 Freestyle,59.93
2022,Girls State Division I,100 Freestyle,59.00
2022,Girls State Division II,100 Freestyle,59.80
2022,Boys State Division I,100 Freestyle,52.67
2022,Boys State Division II,100 Freestyle,52.67
2022,South Sectional Girls & Boys,500 Freestyle,6:01.73
2022,North Sectional Girls & Boys,500 Freestyle,6:01.73
2022,Girls State Division I,500 Freestyle,5:49.37
2022,Girls State Division II,500 Freestyle,5:53.84
2022,Boys State Division I,500 Freestyle,5:23.09
2022,Boys State Division II,500 Freestyle,5:23.09
2022,South Sectional Girls & Boys,200 Freestyle Relay,1:59.03
2022,North Sectional Girls & Boys,200 Freestyle Relay,1:59.03
2022,Girls State Division I,200 Freestyle Relay,1:56.22
2022,Girls State Division II,200 Freestyle Relay,1:56.44
2022,Boys State Division I,200 Freestyle Relay,1:38.93
2022,Boys State Division II,200 Freestyle Relay,1:38.93
2022,South Sectional Girls & Boys,100 Backstroke,1:08.01
2022,North Sectional Girls & Boys,100 Backstroke,1:08.51
2022,Girls State Division I,100 Backstroke,1:07.40
2022,Girls State Division II,100 Backstroke,1:07.85
2022,Boys State Division I,100 Backstroke,1:01.47
2022,Boys State Division II,100 Backstroke,1:01.47
2022,South Sectional Girls & Boys,100 Breaststroke,1:19.96
2022,North Sectional Girls & Boys,100 Breaststroke,1:17.98
2022,Girls State Division I,100 Breaststroke,1:15.13
2022,Girls State Division II,100 Breaststroke,1:17.51
2022,Boys State Division I,100 Breaststroke,1:08.21
2022,Boys State Division II,100 Breaststroke,1:08.21
2022,South Sectional Girls & Boys,400 Freestyle Relay,4:24.53
2022,North Sectional Girls & Boys,400 Freestyle Relay,4:25.59
2022,Girls State Division I,400 Freestyle Relay,4:13.28
2022,Girls State Division II,400 Freestyle Relay,4:13.58
2022,Boys State Division I,400 Freestyle Relay,3:49.90
2022,Boys State Division II,400 Freestyle Relay,3:49.90
2021,South Sectional Girls & Boys,1 Meter Diving,180 (2 times)
2021,North Sectional Girls & Boys,1 Meter Diving,175 (2 times)
2021,Girls State Division I,1 Meter Diving,190 (2 times)
2021,Girls State Division II,1 Meter Diving,190 (2 times)
2021,Boys State Division I,1 Meter Diving,192 (2 times)
2021,Boys State Division II,1 Meter Diving,192 (2 times)
2021,South Sectional Girls & Boys,200 Medley Relay,2:15.55
2021,North Sectional Girls & Boys,200 Medley Relay,2:16.78
2021,Girls State Division I,200 Medley Relay,2:07.50
2021,Girls State Division II,200 Medley Relay,2:11.19
