date	title	url
2012-11-21	Needham High Sports Roundup: Swimmers finish 5th at state meet	https://www.wickedlocal.com/story/needham-times/2012/11/21/needham-high-sports-roundup-swimmers/39849512007/
2012-10-31	Needham High girls swim team sends seniors out with a win	https://www.wickedlocal.com/story/needham-times/2012/10/31/needham-high-girls-swim-team/39729025007/
2012-10-11	Needham High girls swimming team pools its efforts	https://www.wickedlocal.com/story/needham-times/2012/10/11/needham-high-girls-swimming-team/39653395007/
2012-05-25	Needham Community Center group: place to swim, gather needed	https://www.wickedlocal.com/story/needham-times/2012/05/25/needham-community-center-group-place/39728757007/
2012-02-22	Needham High boys swimming finishes 15th in States	https://www.wickedlocal.com/story/needham-times/2012/02/22/needham-high-boys-swimming-finishes/39729522007/
2012-02-15	Needham High boys swimming makes waves at Sectionals	https://www.wickedlocal.com/story/needham-times/2012/02/15/needham-high-boys-swimming-makes/39771884007/
2012-02-08	Needham High Boys Swimming: Best in the Bay State Conference	https://www.wickedlocal.com/story/needham-times/2012/02/08/needham-high-boys-swimming-best/39608370007/
2012-02-01	A wave of success for Needham High boys swim team	https://www.wickedlocal.com/story/needham-times/2012/02/01/a-wave-success-for-needham/39608631007/
2012-01-25	Needham sinks Brookline boys swim team's title hopes	https://www.wickedlocal.com/story/brookline-tab/2012/01/25/needham-sinks-brookline-boys-swim/39953907007/
2012-01-18	Needham High boys swim team off to 6-0 start	https://www.wickedlocal.com/story/needham-times/2012/01/18/needham-high-boys-swim-team/39650191007/
2012-01-04	Needham’s Ellen Ingwerson sets swimming mark	https://www.wickedlocal.com/story/needham-times/2012/01/04/needham-s-ellen-ingwerson-sets/39729273007/
2011-12-29	Needham High boys swim team improves to 3-0	https://www.wickedlocal.com/story/needham-times/2011/12/29/needham-high-boys-swim-team/39629267007/
2011-12-23	Needham boys swimming team starts with two straight wins	https://www.wickedlocal.com/story/needham-times/2011/12/23/needham-boys-swimming-team-starts/39688527007/
2011-12-14	Needham High boys swimming preview: Seniors hope to go out on top	https://www.wickedlocal.com/story/needham-times/2011/12/14/needham-high-boys-swimming-preview/39659064007/
2011-11-23	Needham High girls swim team takes 4th at state meet	https://www.wickedlocal.com/story/needham-times/2011/11/23/needham-high-girls-swim-team/39688622007/
2011-11-21	Needham High swimmers fourth at Sectionals	https://www.wickedlocal.com/story/needham-times/2011/11/21/needham-high-swimmers-fourth-at/39676674007/
2011-10-26	Needham High swimmers pool their efforts toward success	https://www.wickedlocal.com/story/needham-times/2011/10/26/needham-high-swimmers-pool-their/64848881007/
2011-10-20	Needham swimmers honored	https://www.wickedlocal.com/story/needham-times/2011/10/20/needham-swimmers-honored/39603995007/
2011-10-19	Needham High Sports Roundup: Swimmers stay unbeaten	https://www.wickedlocal.com/story/needham-times/2011/10/19/needham-high-sports-roundup-swimmers/39605167007/
2011-09-28	Swimming: Needham High stays undefeated	https://www.wickedlocal.com/story/needham-times/2011/09/28/swimming-needham-high-stays-undefeated/39653520007/
2011-08-17	Needham Sharks finish recreational swim season	https://www.wickedlocal.com/story/needham-times/2011/08/17/needham-sharks-finish-recreational-swim/39728460007/
2011-07-13	Needham swimmers part of Longfellow Stingrays team	https://www.wickedlocal.com/story/needham-times/2011/07/13/needham-swimmers-part-longfellow-stingrays/39849641007/
2011-02-23	Needham High swimmers finish successful season at States	https://www.wickedlocal.com/story/needham-times/2011/02/23/needham-high-swimmers-finish-successful/39791449007/
2011-02-16	Needham High swimmers race at Sectionals, head to state meet	https://www.wickedlocal.com/story/needham-times/2011/02/16/needham-high-swimmers-race-at/40539183007/
2011-02-09	Needham High swimmers win Bay State Conference title	https://www.wickedlocal.com/story/needham-times/2011/02/09/needham-high-swimmers-win-bay/39794837007/
2011-02-03	Needham High's boys swim team wins Bay State title for first time since 1987	https://www.wickedlocal.com/story/needham-times/2011/02/03/needham-high-s-boys-swim/39730118007/
2011-01-26	Swimming: Rockets earn sixth win, close in on Bay State title	https://www.wickedlocal.com/story/needham-times/2011/01/26/swimming-rockets-earn-sixth-win/39849805007/
2011-01-19	Needham High swimmers take two of three	https://www.wickedlocal.com/story/needham-times/2011/01/19/needham-high-swimmers-take-two/39968356007/
2011-01-12	Swimmers defeat Framingham to stay unbeaten	https://www.wickedlocal.com/story/needham-times/2011/01/12/swimmers-defeat-framingham-to-stay/39967618007/
2010-12-29	Needham High boys swimming opens with two wins	https://www.wickedlocal.com/story/needham-times/2010/12/29/needham-high-boys-swimming-opens/40387414007/
2010-11-23	Needham High Roundup: Swimmers finish up successful season	https://www.wickedlocal.com/story/needham-times/2010/11/23/needham-high-roundup-swimmers-finish/40385638007/
2010-11-17	Needham High girls swimming takes 4th at South Sectionals	https://www.wickedlocal.com/story/needham-times/2010/11/17/needham-high-girls-swimming-takes/40312013007/
2010-11-09	Needham High swim team second in Bay State Conference Championships	https://www.wickedlocal.com/story/needham-times/2010/11/09/needham-high-swim-team-second/40007946007/
2010-11-03	Needham High Roundup: Swimmers nab second straight Carey Division title	https://www.wickedlocal.com/story/needham-times/2010/11/03/needham-high-roundup-swimmers-nab/40310445007/
2010-10-20	Needham High girls swim team continues to make waves	https://www.wickedlocal.com/story/needham-times/2010/10/20/needham-high-girls-swim-team/40386278007/
2010-10-19	Needham High girls swim team stays unbeaten	https://www.wickedlocal.com/story/needham-times/2010/10/19/needham-high-girls-swim-team/40504313007/
2010-10-06	Needham High Roundup: Swimmers improve to 4-0	https://www.wickedlocal.com/story/needham-times/2010/10/06/needham-high-roundup-swimmers-improve/39923379007/
2010-09-29	Needham High girls swim team making an early-season splash	https://www.wickedlocal.com/story/needham-times/2010/09/29/needham-high-girls-swim-team/40313628007/
2010-08-31	Fall sports previews: Swim team seeks repeat Carey Division title	https://www.wickedlocal.com/story/needham-times/2010/08/31/fall-sports-previews-swim-team/40505998007/
2010-08-03	Needham's Ingwerson starring for 5-0 Longfellow Stingrays swim team	https://www.wickedlocal.com/story/needham-times/2010/08/03/needham-s-ingwerson-starring-for/39923183007/
2010-06-23	Where do you like to swim in the summertime?	https://www.wickedlocal.com/story/needham-times/2010/06/23/where-do-you-like-to/39793306007/
