year,division,place,school,score
2018,Division 2 State,15,Woburn,27
2018,Division 2 State,16,Stoneham,20
2017,Division 1 State,1,Andover,488.5
2017,Division 1 State,2,Acton-Boxborough,267.5
2017,Division 1 State,3,Newton North,263
2017,Division 1 State,4,Chelmsford,210
2017,Division 1 State,5,Brookline,176
2017,Division 1 State,6,Haverhill,170
2017,Division 1 State,7,Needham,165
2017,Division 1 State,8,Boston Latin School,148
2017,Division 1 State,9,Framingham,109
2017,Division 1 State,10,Lexington,86
2017,Division 1 State,11,Lowell,66
2017,Division 1 State,12,Arlington,59
2017,Division 1 State,13,Methuen,54
2017,Division 1 State,14,Braintree,29
2017,Division 1 State,15,North Andover,20
2017,Division 2 State,1,Reading,388.5
2017,Division 2 State,2,Wellesley,350
2017,Division 2 State,3,Natick,211
2017,Division 2 State,4,Central Catholic,176
2017,Division 2 State,5,Belmont,172
2017,Division 2 State,6,Ursuline Academy,164
2017,Division 2 State,7,Melrose,160
2017,Division 2 State,8,Winchester,143
2017,Division 2 State,9,Marshfield,127
2017,Division 2 State,10,Notre Dame Academy - Hingham,122
2017,Division 2 State,11,Stoneham,84
2017,Division 2 State,12,Wakefield,55.5
2017,Division 2 State,13,Milton,36
2017,Division 2 State,14,Woburn,33
2017,Division 2 State,15,Norwood,32
2017,Division 2 State,16,Walpole,29
2017,Division 2 State,17,Burlington,28
2017,Division 2 State,18,Mount Alvernia,11
2016,Division 1 State,1,Andover,476.5
2016,Division 1 State,2,Newton North,281
2016,Division 1 State,3,Acton-Boxborough,263
2016,Division 1 State,4,Framingham,205
2016,Division 1 State,4,Chelmsford,205
2016,Division 1 State,6,Brookline,196
2016,Division 1 State,7,Haverhill,156
2016,Division 1 State,8,Lexington,141
2016,Division 1 State,9,Needham,122.5
2016,Division 1 State,10,Lowell,100
2016,Division 1 State,11,Boston Latin School,66
2016,Division 1 State,12,Braintree,36
2016,Division 1 State,13,Billerica,17
2016,Division 1 State,14,Methuen,16
2016,Division 2 State,1,Reading,287
2016,Division 2 State,2,Central Catholic,261
2016,Division 2 State,3,Wellesley,239.5
2016,Division 2 State,4,Notre Dame Academy - Hingham,238
2016,Division 2 State,5,Belmont,226.5
2016,Division 2 State,6,Natick,219
2016,Division 2 State,7,Ursuline Academy,185
2016,Division 2 State,8,Winchester,145
2016,Division 2 State,9,Melrose,139
2016,Division 2 State,10,Marshfield,124
2016,Division 2 State,11,Burlington,68
2016,Division 2 State,12,Stoneham,52
2016,Division 2 State,13,North Andover,35
2016,Division 2 State,14,Walpole,20
2016,Division 2 State,14,Academy of Notre Dame,20
2016,Division 2 State,16,Dedham,14
2016,Division 2 State,17,Norwood,8
2016,Division 2 State,17,Woburn,8
2016,Division 2 State,19,Mount Alvernia,7
2016,Division 2 State,20,Arlington,6
2016,Division 2 State,20,Wakefield,6
2015,Division 1 State,1,Andover,527
2015,Division 1 State,2,Acton-Boxborough,233
2015,Division 1 State,3,Newton North,217
2015,Division 1 State,4,Chelmsford,201
2015,Division 1 State,5,Brookline,197
2015,Division 1 State,6,Haverhill,187
2015,Division 1 State,7,Framingham,166
2015,Division 1 State,8,Needham,156
2015,Division 1 State,9,Lexington,147
2015,Division 1 State,10,New Bedford,73
2015,Division 1 State,11,Braintree,45
2015,Division 1 State,12,Boston Latin School,41
2015,Division 1 State,13,Billerica,35
2015,Division 1 State,14,Lowell,32
2015,Division 1 State,15,Brockton,16
2015,Division 1 State,16,Durfee,10
2015,Division 1 State,17,MethTewk,4
2015,Division 2 State,1,Bishop Feehan,314
2015,Division 2 State,2,Belmont,293
2015,Division 2 State,3,Reading,280
2015,Division 2 State,4,Wellesley,205
2015,Division 2 State,5,Central Catholic,173.5
2015,Division 2 State,6,Ursuline Academy,162
2015,Division 2 State,7,Melrose,159
2015,Division 2 State,8,Notre Dame Academy - Hingham,136.5
2015,Division 2 State,9,Marshfield,113
2015,Division 2 State,10,Winchester,112
2015,Division 2 State,11,Natick,107
2015,Division 2 State,12,Woburn,56
2015,Division 2 State,13,Burlington,38.5
2015,Division 2 State,14,North Andover,37
2015,Division 2 State,14,Wakefield,37
2015,Division 2 State,16,Advanced Math & Science,35
2015,Division 2 State,17,Stoneham,28.5
2015,Division 2 State,18,Mount Alvernia,12
2015,Division 2 State,19,Walpole,8
2015,Division 2 State,20,Nda.Stp-Worcester,3
2014,Division 1 State,1,Andover,367
2014,Division 1 State,2,Acton-Boxborough,314
2014,Division 1 State,3,Newton North,309
2014,Division 1 State,4,Framingham,209
2014,Division 1 State,5,Lexington,195
2014,Division 1 State,6,Needham,180.5
2014,Division 1 State,7,Chelmsford,159
2014,Division 1 State,8,Lowell,105
2014,Division 1 State,9,Haverhill,88
2014,Division 1 State,10,Brookline,84.5
2014,Division 1 State,11,Boston Latin,56
2014,Division 1 State,12,New Bedford,55
2014,Division 1 State,13,Durfee,54
2014,Division 1 State,14,Methuen,39
2014,Division 1 State,15,Billerica Memorial,26
2014,Division 1 State,16,Brockton,25
2014,Division 1 State,17,Braintree,23
2014,Division 2 State,1,Bishop Feehan,270
2014,Division 2 State,2,Belmont,239
2014,Division 2 State,3,Bishop Stang,199
2014,Division 2 State,4,Natick,198
2014,Division 2 State,5,Westwood,165
2014,Division 2 State,6,Wellesley,149
2014,Division 2 State,7,Winchester,134
2014,Division 2 State,8,Melrose,130
2014,Division 2 State,9,Central Catholic,126
2014,Division 2 State,10,Ursuline Academy,122
2014,Division 2 State,11,Stoneham,83
2014,Division 2 State,12,Reading,78
2014,Division 2 State,13,Walpole,75
2014,Division 2 State,14,Marshfield,67
2014,Division 2 State,15,Notre Dame Academy - Hingham,61
2014,Division 2 State,16,Wakefield,59
2014,Division 2 State,17,North Andover,53
2014,Division 2 State,18,Woburn,41
2014,Division 2 State,19,Burlington,39
