Athlete	Meet	Event	Time	Place	Points	Splits
Chloe Afzali	Milton	50 back split	30.53	2	1
Paige Ingrando	Milton	50 breast split	36.16	2	1
Natalie Guarrera	Milton	50 fly split	28.00	2	1
Sophia Belenkiy	Milton	50 free split	28.22	2	1
Elizabeth Ivanova	Milton	50 back split	39.12
Samantha Zeylikman	Milton	50 breast split	35.23
Madeleine Rowe	Milton	50 fly split	30.71
Grace Flanagan	Milton	50 free split	28.85
Aarna Bhatt	Milton	50 back split	37.10	5
Carrie Zhang	Milton	50 breast split	35.57	5
Audrey Shi	Milton	50 fly split	31.68	5
Eliana Skolnick	Milton	50 free split	31.68	5
Madeleine Rowe	Milton	200 free	132.81	4	2	30.50/34.67/32.75/34.89
Emma Cheung	Milton	200 free	129.11	3	3	29.72/32.40/33.60/33.04
Maya Porter	Milton	200 free	137.81	5	1	32.05/36.22/34.22/35.27
Paige Ingrando	Milton	200 medley	153.69	3	3	34.20/38.15/45.07/36.50
Genevieve Smith	Milton	200 medley	160.56	5	1	31.35/30.03/49.94/38.98
Chloe Afzali	Milton	200 medley	159.98	4	2	35.17/XX.XX/XX.XX/XX.XX
Sophia Belenkiy	Milton	50 free	28.55	3	3
Tessa Jones	Milton	50 free	28.90	4	2
Eliana Skolnick	Milton	50 free	30.55	6
Natalie Guarrera	Milton	100 fly	64.69	1	6
Sophia Belenkiy	Milton	100 fly	75.02	3	3	34.28/40.57
Samantha Zeylikman	Milton	100 fly	80.62	6
Emma Cheung	Milton	100 free	58.96	3	3	28.18/30.65
Emma Manning	Milton	100 free	63.19	6		29.82/33.18
Tessa Jones	Milton	100 free	62.93	5	1	29.57/33
Madeleine Rowe	Milton	500 free	352.43	2	4	66.55/70.93/71.40/72.10/71.40
Genevieve Smith	Milton	500 free	399.89	5	1	72.69/79.97/81.25/82.97/81.97
Madeline Weirup	Milton	500 free	395.52	4	2	73.35/80.59/XX.XX/XX.XX/81.81
Tessa Jones	Milton	50 free split	29.62	4
Emma Manning	Milton	50 free split	27.82	4
Sophia Belenkiy	Milton	50 free split	29.14	2	1
Genevieve Smith	Milton	50 free split	29.32	2	1
Maya Porter	Milton	50 free split	29.56	4
Eliana Skolnick	Milton	50 free split	30.60	4
Emma Cheung	Milton	50 free split	29.09	2	1
Paige Ingrando	Milton	50 free split	28.51	2	1
Aarna Bhatt	Milton	50 free split	30.73	5
Samantha Zeylikman	Milton	50 free split	28.81	5
Carrie Zhang	Milton	50 free split	29.10	5
Grace Flanagan	Milton	50 free split	29.90	5
Natalie Guarrera	Milton	100 back	66.88	4	2	32.52/34.28
Chloe Afzali	Milton	100 back	66.73	3	3	32.32/34.15
Maya Porter	Milton	100 back	75.84	6		36.48/38.78
Paige Ingrando	Milton	100 breast	78.99	1	6	37.26/41.51
Samantha Zeylikman	Milton	100 breast	81.72	3	3	38.60/43.09
Carrie Zhang	Milton	100 breast	81.48	2	4	38.60/42.62
Genevieve Smith	Milton	100 free split	65.54	2	1
Madeleine Rowe	Milton	100 free split	63.96	2	1
Emma Cheung	Milton	100 free split	59.47	2	1
Natalie Guarrera	Milton	100 free split	61.68	2	1
Maya Porter	Milton	100 free split	64.76
Tessa Jones	Milton	100 free split	64.62
Emma Manning	Milton	100 free split	66.50
Chloe Afzali	Milton	100 free split	67.84
Emmeline Fritz	Milton	100 free split	68.20	4
Madeline Weirup	Milton	100 free split	73.87	4
Audrey Shi	Milton	100 free split	65.91	4
Carrie Zhang	Milton	100 free split	66.00	4
Emmeline Fritz	Milton	50 back split	35.46
Bryden Tobin	Milton	50 breast split	39.20
Madeline Weirup	Milton	50 fly split	40.24
Sabine Richmond	Milton	50 free split	32.23
MadhuSri Saranathan	Milton	50 back split	46.06
Aida Huffenus	Milton	50 breast split	39.32
Audrey O'Brien	Milton	50 fly split	39.72
Esther Kraft	Milton	50 free split	38.00
Aarna Bhatt	Milton	50 free	31.03
Elizabeth Ivanova	Milton	50 free	31.19
Audrey Shi	Milton	50 free	30.19
Grace Flanagan	Milton	100 free	64.93			31.12/33.65
Eliana Skolnick	Milton	100 free	65.91			30.63/35.00
Sabine Richmond	Milton	100 free	71.35			32.73/38.02
