year	division	place	school	score
2017	North Sectional Championships	10	Stoneham	85
2017	North Sectional Championships	11	Lexington	68
2017	North Sectional Championships	12	Lowell	60
2017	North Sectional Championships	13	Wakefield	57
2017	North Sectional Championships	14	Methuen	48
2017	North Sectional Championships	15	Arlington	40
2017	North Sectional Championships	16	Burlington	26
2017	North Sectional Championships	17	Woburn	24
2017	North Sectional Championships	18	North Andover	20
2017	North Sectional Championships	19	Billerica	4
2017	South Sectional Championships	1	Wellesley	376
2017	South Sectional Championships	2	Newton North	332
2017	South Sectional Championships	3	Brookline	268
2017	South Sectional Championships	4	Natick	233
2017	South Sectional Championships	5	Ursuline Academy	176
2017	South Sectional Championships	5	Framingham	176
2017	South Sectional Championships	7	Needham	168
2017	South Sectional Championships	8	Boston Latin School	157
2017	South Sectional Championships	9	Marshfield	144
2017	South Sectional Championships	10	Notre Dame Academy - Hingham	119
2017	South Sectional Championships	11	Braintree	46
2017	South Sectional Championships	12	Walpole	35
2017	South Sectional Championships	13	Norwood	32
2017	South Sectional Championships	14	Milton	31
2016	North Sectional Championships	1	Andover	464
2016	North Sectional Championships	2	Acton-Boxborough	298
2016	North Sectional Championships	3	Reading	258
2016	North Sectional Championships	4	Central Catholic	204
2016	North Sectional Championships	5	Belmont	180
2016	North Sectional Championships	6	Lexington	127
2016	North Sectional Championships	7	Winchester	126
2016	North Sectional Championships	8	Chelmsford	117
2016	North Sectional Championships	9	Haverhill	111
2016	North Sectional Championships	9	Melrose	111
2016	North Sectional Championships	11	Lowell	107
2016	North Sectional Championships	12	Burlington	55
2016	North Sectional Championships	13	Boston Latin School	53
2016	North Sectional Championships	14	Stoneham	46
2016	North Sectional Championships	15	North Andover	26
2016	North Sectional Championships	16	Billerica	17
2016	North Sectional Championships	17	Methuen	13
2016	North Sectional Championships	18	Academy of Notre Dame	4
2016	North Sectional Championships	18	Woburn	4
2016	North Sectional Championships	20	Arlington	3
2016	South Sectional Championships	1	Framingham	300
2016	South Sectional Championships	2	Newton North	292
2016	South Sectional Championships	3	Brookline	263
2016	South Sectional Championships	4	Notre Dame Academy - Hingham	251
2016	South Sectional Championships	5	Natick	242
2016	South Sectional Championships	6	Wellesley	240
2016	South Sectional Championships	7	Ursuline Academy	205
2016	South Sectional Championships	8	Needham	179
2016	South Sectional Championships	9	Marshfield	153
2016	South Sectional Championships	10	Braintree	49
2016	South Sectional Championships	11	Dedham	33
2016	South Sectional Championships	12	Norwood	24
2016	South Sectional Championships	13	Walpole	20
2015	North Sectional Championships	1	Andover	474
2015	North Sectional Championships	2	Acton-Boxborough	292.5
2015	North Sectional Championships	3	Reading	249
2015	North Sectional Championships	4	Belmont	236
2015	North Sectional Championships	5	Lexington	151
2015	North Sectional Championships	6	Haverhill	141.5
2015	North Sectional Championships	7	Central Catholic	139
2015	North Sectional Championships	8	Melrose	125
2015	North Sectional Championships	9	Chelmsford	113.5
2015	North Sectional Championships	10	Winchester	100.5
2015	North Sectional Championships	11	Burlington	54
2015	North Sectional Championships	12	Woburn	49
2015	North Sectional Championships	13	Boston Latin School	46
2015	North Sectional Championships	14	Wakefield	43
2015	North Sectional Championships	15	North Andover	37
2015	North Sectional Championships	16	Lowell	30.5
2015	North Sectional Championships	17	Methuen	18.5
2015	North Sectional Championships	18	Stoneham	12
2015	North Sectional Championships	19	Billerica	9
2015	North Sectional Championships	20	Notre Dame Academy - Worcester	4
2015	South Sectional Championships	1	Bishop Feehan	350
2015	South Sectional Championships	2	Brookline	267.5
2015	South Sectional Championships	3	Newton North	235.5
2015	South Sectional Championships	4	Framingham	235
2015	South Sectional Championships	5	Wellesley	213
2015	South Sectional Championships	6	Needham	202
2015	South Sectional Championships	7	Ursuline Academy	172.5
2015	South Sectional Championships	8	Natick	144
