year	division	place	school	score
2004	North Sectional Championships	7	Haverhill	77
2004	North Sectional Championships	8	Framingham	71
2004	North Sectional Championships	9	Methuen	47
2004	North Sectional Championships	10	Burlington	42
2004	North Sectional Championships	11	Winchester	30
2004	North Sectional Championships	12	Lowell	27
2004	North Sectional Championships	13	Notre Dame Academy - Worcester	17
2004	North Sectional Championships	14	Stoneham	12
2004	North Sectional Championships	15	Cambridge	7
2004	North Sectional Championships	16	Dracut	6
2004	North Sectional Championships	17	St. Peter Mariian	4
2004	North Sectional Championships	18	Billerica	2
2004	South Sectional Championships	1	Bishop Stang	195.50
2004	South Sectional Championships	2	Notre Dame Academy - Hingham	189
2004	South Sectional Championships	3	Bishop Feehan	184.50
2004	South Sectional Championships	4	Seekonk	130
2004	South Sectional Championships	5	Brockton	123
2004	South Sectional Championships	6	Walpole	88
2004	South Sectional Championships	7	Milford	84
2004	South Sectional Championships	8	Natick	57
2004	South Sectional Championships	9	Brookline	55
2004	South Sectional Championships	10	Marshfield	39
2004	South Sectional Championships	11	Wellesley	35
2004	South Sectional Championships	12	Norwood	33
2004	South Sectional Championships	13	Duxbury	32
2004	South Sectional Championships	14	Ursuline Academy	28
2004	South Sectional Championships	14	New Bedford	28
2004	South Sectional Championships	16	Dedham	27
2004	South Sectional Championships	17	Boston Latin	16
2004	South Sectional Championships	18	Needham	15
2004	South Sectional Championships	19	Stoughton	11
2004	South Sectional Championships	19	Apponequet Reg	11
2004	South Sectional Championships	21	Quincy North Quincy High Schoo	10
2004	South Sectional Championships	22	Durfee	9
2004	South Sectional Championships	23	Newton North	6
2004	South Sectional Championships	23	Canton	6
2004	South Sectional Championships	25	Sandwich	1
2003	North Sectional Championships	1	Andover
2003	North Sectional Championships	2	Acton-Boxbourgh
2003	South Sectional Championships	1	Seekonk
2003	South Sectional Championships	2	Notre Dame Academy - Hingham
2002	North Sectional Championships	1	Andover
2002	North Sectional Championships	2	Acton-Boxbourgh
2002	South Sectional Championships	1	Seekonk
2002	South Sectional Championships	2	Needham
2001	North Sectional Championships	1	Andover
2001	North Sectional Championships	2	Acton-Boxbourgh
2001	South Sectional Championships	1	Needham
2001	South Sectional Championships	2	Duxbury
2000	North Sectional Championships	1	Andover
2000	North Sectional Championships	2	Acton-Boxbourgh
2000	South Sectional Championships	1	Duxbury
2000	South Sectional Championships	2	Bishop Feehan
1999	North Sectional Championships	1	Andover
1999	North Sectional Championships	2	Chelmsford
1999	South Sectional Championships	1	Duxbury
1999	South Sectional Championships	2	Notre Dame Academy - Hingham
1998	North Sectional Championships	1	Acton-Boxborough
1998	North Sectional Championships	2	Chelmsford
1998	South Sectional Championships	1	Duxbury
1998	South Sectional Championships	2	Seekonk
1997	North Sectional Championships	1	Acton-Boxborough
1997	North Sectional Championships	2	Chelmsford
1997	South Sectional Championships	1	Bishop Feehan
1997	South Sectional Championships	2	Seekonk
1996	North Sectional Championships	1	Acton-Boxborough
1996	North Sectional Championships	2	Chelmsford
1996	South Sectional Championships	1	Bishop Feehan
1996	South Sectional Championships	2	Seekonk
1995	North Sectional Championships	1	Acton-Boxborough
1995	North Sectional Championships	2	Chelmsford
1995	South Sectional Championships	1	Bishop Feehan
1995	South Sectional Championships	2	Natick
1994	North Sectional Championships	1	Acton-Boxborough
1994	North Sectional Championships	2	Haverhill
1994	South Sectional Championships	1	Natick
1994	South Sectional Championships	2	Bishop Feehan
1993	North Sectional Championships	1	Acton-Boxborough
1993	North Sectional Championships	2	Chelmsford
1993	South Sectional Championships	1	Westwood
1993	South Sectional Championships	2	Duxbury
1992	North Sectional Championships	1	Acton-Boxborough
1992	North Sectional Championships	2	Chelmsford
1992	South Sectional Championships	1	Westwood
1992	South Sectional Championships	2	Wellesley
1991	North Sectional Championships	1	Acton-Boxborough
1991	North Sectional Championships	2	Lowell
1991	South Sectional Championships	1	Ursuline Academy
1991	South Sectional Championships	2	Wellesley
1990	North Sectional Championships	1	Acton-Boxborough
1990	North Sectional Championships	2	Lowell
1990	South Sectional Championships	1	Wellesley
1990	South Sectional Championships	2	Ursuline Academy
1989	North Sectional Championships	1	Lowell
1989	North Sectional Championships	2	Acton-Boxborough
1989	South Sectional Championships	1	Wellesley
1989	South Sectional Championships	2	Ursuline Academy
1988	North Sectional Championships	1	Acton-Boxborough
1988	North Sectional Championships	2	Lowell
1988	South Sectional Championships	1	Wellesley
1988	South Sectional Championships	2	New Bedford
1987	North Sectional Championships	1	Acton-Boxborough
1987	North Sectional Championships	2	Andover
1987	South Sectional Championships	1	Wellesley
1987	South Sectional Championships	2	Needham
1986	North Sectional Championships	1	Acton-Boxborough
1986	North Sectional Championships	2	Belmont
1986	South Sectional Championships	1	Wellesley
1986	South Sectional Championships	2	Brockton
1985	North Sectional Championships	1	Acton-Boxborough
1985	North Sectional Championships	2	Belmont
1985	South Sectional Championships	1	Wellesley
1985	South Sectional Championships	2	Brockton
1984	North Sectional Championships	1	Acton-Boxborough
1984	North Sectional Championships	2	Westford Academy
1984	South Sectional Championships	1	Canton
1984	South Sectional Championships	2	Brockton
1983	North Sectional Championships	1	Acton-Boxborough
1983	North Sectional Championships	2	Westford Academy
1983	South Sectional Championships	1	Wellesley
1983	South Sectional Championships	2	Brockton
1982	North Sectional Championships	1	Acton-Boxborough
1982	North Sectional Championships	2	Framingham North
1982	South Sectional Championships	1	Seekonk
1982	South Sectional Championships	2	Brockton
1981	North Sectional Championships	1	Acton-Boxborough
1981	North Sectional Championships	2	Hamilton Wenham
1981	South Sectional Championships	1	Durfee
1981	South Sectional Championships	2	Seekonk
1980	North Sectional Championships	1	Acton-Boxborough
1980	North Sectional Championships	2	Lexington
1980	South Sectional Championships	1	Durfee
1980	South Sectional Championships	2	Dover Sherborn
1979	North Sectional Championships	1	Framingham North
1979	North Sectional Championships	2	Lexington
1979	South Sectional Championships	1	Durfee
1979	South Sectional Championships	2	Brockton
1978	North Sectional Championships	1	Framingham North
1978	North Sectional Championships	2	Acton-Boxborough
1978	South Sectional Championships	1	Durfee
1978	South Sectional Championships	2	Dover Sherborn
1977	Eastern Mass Sectional Championships	1	Acton-Boxbourgh
1977	Eastern Mass Sectional Championships	2	Framingham North
1976	Eastern Mass Sectional Championships	1	Acton-Boxbourgh
1976	Eastern Mass Sectional Championships	2	Marblehead
1975	Eastern Mass Sectional Championships	1	Bedford
1975	Eastern Mass Sectional Championships	2	Wayland
1974	Eastern Mass Sectional Championships	1	Bedford
1974	Eastern Mass Sectional Championships	2	Wayland
1973	Eastern Mass Sectional Championships	1	Wayland
1972	Eastern Mass Sectional Championships	2	Acton-Boxborough
