name
1 Meter Diving
200 Medley Relay
200 Freestyle
50 Freestyle
100 Butterfly
100 Freestyle
500 Freestyle
100 Backstroke
100 Breaststroke
50 Backstroke Split
50 Breaststroke Split
50 Butterfly Split
50 Freestyle Split
100 Freestyle Split
